theme_code,theme_name,level,pub_count,project_count,pub_share,project_share,top3_admin_ics,top3_cofunding_ics,pubs_early,pubs_mid,pubs_late
1,Cardiometabolic disease,top,405,3288,0.2836,0.2549,OD(71);HL(42);TR(25),OD(91);TR(79);HL(45),152,154,99
2,Genomics methods & complex-trait genetics,top,356,4382,0.2493,0.3397,OD(59);HG(40);HL(38),OD(76);TR(63);HG(41),122,151,83
3,"Methods, infrastructure & phenotyping (non-genomic)",top,262,2388,0.1835,0.1851,OD(65);HG(18);TR(17),OD(74);TR(58);HG(22),119,91,52
4,"Mental health, behavioral & substance use",top,269,1935,0.1884,0.15,OD(37);EY(7);LM(6),OD(45);TR(33);EY(9),99,105,65
5,Cancer,top,182,1722,0.1275,0.1335,OD(22);CA(18);HG(5),OD(30);CA(19);TR(17),67,78,37
6,Social determinants of health & health disparities,top,470,3070,0.3291,0.238,OD(106);TR(21);MD(17),OD(125);TR(87);AG(25),225,168,77
7,Wearables & digital health,top,77,923,0.0539,0.0716,OD(11);HL(8);HG(4),OD(14);TR(11);HL(8),23,30,24
8,Infectious disease & immunology,top,86,636,0.0602,0.0493,OD(19);HL(4);TR(3),OD(24);TR(11);HL(4),43,28,15
9,Autoimmune & inflammatory disease,top,108,629,0.0756,0.0488,OD(21);TR(4);HG(4),OD(24);TR(22);AG(4),51,41,16
10,Rare disease & Mendelian genetics,top,54,431,0.0378,0.0334,OD(11);GM(4);HG(4),OD(10);TR(8);GM(4),17,25,12
11,"Aging, frailty & ADRD",top,78,636,0.0546,0.0493,OD(10);AG(8);HG(4),OD(13);TR(11);AG(9),17,36,25
12,Dermatology,top,199,528,0.1394,0.0409,OD(29);TR(10);GM(3),OD(36);TR(33);AI(4),140,51,8
13,Respiratory & sleep medicine,top,60,405,0.042,0.0314,OD(12);HL(3);HG(2),OD(13);TR(11);HL(3),19,27,14
14,Neurology (non-ADRD),top,82,566,0.0574,0.0439,OD(12);TR(8);HL(8),OD(18);TR(15);HL(8),29,29,24
15,"Pregnancy, maternal & women's health",top,38,678,0.0266,0.0526,OD(8);HD(3);AR(3),OD(10);TR(7);HD(3),15,17,6
16,Pharmacogenomics & drug response,top,34,200,0.0238,0.0155,OD(6);HG(4);TR(3),OD(7);TR(6);HG(4),15,13,6
17,"ELSI, participant engagement & recruitment",top,70,61,0.049,0.0047,OD(16);CA(5);TR(5),OD(21);CA(5);HG(5),52,16,2
18,"Ophthalmology, ENT & sensory medicine",top,108,469,0.0756,0.0364,OD(28);EY(24);MD(8),OD(30);EY(26);TR(25),47,45,16
19,Environmental health & climate,top,8,74,0.0056,0.0057,ES(2);HL(2);OD(1),ES(2);HL(2);OD(2),4,3,1
1.3-CKM,CKM syndrome (subtheme of Cardiometabolic),subtheme,3,10,0.0021,0.0008,,,,,
1.4-stroke-cardio,Cardio-embolic stroke (subtheme of Cardiometabolic),subtheme,3,3,0.0021,0.0002,OD(1),OD(1);TR(1),,,
14.2-stroke-cerebro,Cerebrovascular stroke (subtheme of Neurology),subtheme,14,49,0.0098,0.0038,TR(4);AG(3);NS(3),OD(4);TR(4);AG(3),,,
META,AoU-program-meta-audit (NOT in theme-share denominator),audit,4,0,,,,,,,
